DATE;OPEN;HIGH;LOW;CLOSE
06.11.2018;114640;114710;114630;114710
06.11.2018;114690;114690;114650;114660
06.11.2018;114660;114690;114650;114680
06.11.2018;114680;114680;114670;114670
06.11.2018;114680;114680;114660;114680
06.11.2018;114690;114700;114680;114680
06.11.2018;114680;114720;114680;114690
06.11.2018;114700;114710;114690;114700
06.11.2018;114690;114700;114680;114680
06.11.2018;114680;114700;114670;114670
06.11.2018;114660;114670;114640;114640
06.11.2018;114640;114660;114630;114650
06.11.2018;114650;114680;114650;114680
06.11.2018;114680;114680;114650;114660
06.11.2018;114660;114690;114650;114690
06.11.2018;114690;114700;114690;114700
06.11.2018;114710;114750;114680;114740
06.11.2018;114720;114720;114700;114700
06.11.2018;114690;114720;114690;114700
06.11.2018;114680;114680;114650;114660
06.11.2018;114650;114650;114620;114630
06.11.2018;114630;114630;114590;114590
06.11.2018;114590;114600;114580;114590
06.11.2018;114590;114600;114590;114590
06.11.2018;114590;114590;114550;114560
06.11.2018;114550;114580;114550;114580
06.11.2018;114570;114590;114570;114580
06.11.2018;114570;114600;114570;114600
06.11.2018;114590;114600;114580;114580
06.11.2018;114580;114610;114570;114600
06.11.2018;114610;114640;114590;114600
06.11.2018;114620;114640;114610;114640
06.11.2018;114630;114640;114620;114620
06.11.2018;114620;114630;114610;114620
06.11.2018;114630;114640;114600;114630
06.11.2018;114630;114630;114590;114590
06.11.2018;114590;114630;114590;114620
06.11.2018;114630;114650;114610;114630
06.11.2018;114630;114690;114610;114690
06.11.2018;114680;114680;114650;114670
06.11.2018;114660;114690;114660;114690
06.11.2018;114680;114700;114670;114700
06.11.2018;114700;114710;114690;114690
06.11.2018;114690;114690;114670;114680
06.11.2018;114680;114720;114670;114700
06.11.2018;114710;114730;114700;114720
06.11.2018;114720;114750;114720;114740
06.11.2018;114730;114740;114710;114710
06.11.2018;114710;114720;114700;114710
06.11.2018;114710;114740;114710;114730
06.11.2018;114740;114840;114740;114800
06.11.2018;114790;114800;114760;114760
06.11.2018;114770;114800;114770;114790
06.11.2018;114800;114840;114790;114840
06.11.2018;114840;114870;114830;114860
06.11.2018;114860;114890;114840;114840
06.11.2018;114840;114870;114830;114860
06.11.2018;114840;114850;114810;114820
06.11.2018;114810;114830;114810;114820
06.11.2018;114810;114830;114780;114790
06.11.2018;114790;114800;114740;114770
06.11.2018;114780;114800;114740;114740
06.11.2018;114740;114770;114730;114740
06.11.2018;114740;114770;114740;114760
06.11.2018;114770;114800;114760;114780
06.11.2018;114780;114800;114770;114800
06.11.2018;114790;114810;114780;114790
06.11.2018;114800;114820;114780;114810
06.11.2018;114800;114840;114800;114810
06.11.2018;114800;114830;114790;114820
06.11.2018;114820;114840;114810;114820
06.11.2018;114810;114880;114810;114870
06.11.2018;114870;114870;114800;114830
06.11.2018;114840;114840;114800;114810
06.11.2018;114810;114810;114740;114760
06.11.2018;114750;114760;114720;114740
06.11.2018;114730;114740;114710;114730
06.11.2018;114720;114730;114710;114720
06.11.2018;114710;114710;114680;114690
06.11.2018;114690;114700;114670;114690
06.11.2018;114680;114690;114660;114660
06.11.2018;114670;114710;114650;114700
06.11.2018;114690;114700;114680;114690
06.11.2018;114680;114710;114680;114690
06.11.2018;114680;114680;114640;114660
06.11.2018;114680;114700;114630;114630
06.11.2018;114640;114700;114640;114690
06.11.2018;114680;114680;114610;114630
06.11.2018;114610;114650;114570;114650
